MAG	Taxonomy	Phylum	Class	Genus	Species	Module	Degree	Strength	StableDegree70	StableDegree80	BootstrapExpectedDegree	MeanIncidentStability	WithinModuleDegree	Zi	ZiEstimable	Pi	Role	Betweenness	HarmonicCentrality	TopologyPriority	CandidateEvidence	Interpretation
AA03.MAG56	Bacteria;Armatimonadota;HRBIN16;HRBIN16;HRBIN16;HRBIN16	Armatimonadota	HRBIN16	HRBIN16	Unclassified	M1	11	0.603459327374043	7	5	12.034	0.751636363636364	7	2.42527397772468	TRUE	0.512396694214876	Peripheral	0.271717171717172	0.0263392661455183	TRUE	top-decile degree; >=2 consensus edges	Topology-priority candidate; ecological keystone status requires perturbation or longitudinal validation
AR10.MAG39	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Thermoflexibacteraceae;Thermoflexibacter	Bacteroidota	Bacteroidia	Thermoflexibacter	Unclassified	M5	8	0.416563093154053	5	4	14.012	0.791875	2	0	TRUE	0.65625	Connector	0.233333333333333	0.0215650980015794	TRUE	cross-module connector; top-decile degree; >=2 consensus edges	Topology-priority candidate; ecological keystone status requires perturbation or longitudinal validation
AB22.MAG021	Bacteria;Chloroflexota;Anaerolineae;Aggregatilineales;Phototrophicaceae;CFX2	Chloroflexota	Anaerolineae	CFX2	Unclassified	M4	11	0.411742688115909	5	1	13.973	0.683818181818182	5	1.96668684412571	TRUE	0.710743801652893	Connector	0.256565656565657	0.019932116843552	TRUE	cross-module connector; top-decile degree; >=2 consensus edges	Topology-priority candidate; ecological keystone status requires perturbation or longitudinal validation
AB03.MAG30	Bacteria;Armatimonadota;HRBIN16;HRBIN16;HRBIN16;HRBIN16	Armatimonadota	HRBIN16	HRBIN16	Unclassified	M3	8	0.225927750849684	3	1	11.163	0.655	2	-0.377964473009227	TRUE	0.78125	Connector	0.096969696969697	0.0171145825135755	TRUE	cross-module connector; top-decile degree; >=2 consensus edges	Topology-priority candidate; ecological keystone status requires perturbation or longitudinal validation
AY04.MAG035	Bacteria;Planctomycetota;Planctomycetia;Gemmatales;Gemmataceae;Thermogemmata	Planctomycetota	Planctomycetia	Thermogemmata	Unclassified	M3	6	0.423968399002405	3	2	9.998	0.7315	4	0.944911182523068	TRUE	0.444444444444444	Peripheral	0.138383838383838	0.0240381314017974	TRUE	top-decile degree; >=2 consensus edges	Topology-priority candidate; ecological keystone status requires perturbation or longitudinal validation
